"ID","ID","NAME","START_AT","END_AT","ARTWORKS_COUNT","PARTNERS_COUNT","ARTISTS_COUNT","PARTNER_SHOWS_COUNT","PUBLISHED","STATUS"
"a0TM000000AUlwXMAT","53b1728b72616915d5260000","Photo Shanghai 2014","2014-09-05 14:21:00.0","2014-09-07 14:21:00.0","0","0","0","0","false","Item Updated"
"a0TM000000AUlwYMAT","522652069c18dbfa480000ef","IFPDA Print Fair","2013-11-06 00:32:00.0","2013-11-10 00:32:00.0","992","52","350","52","true","Item Updated"
"a0TM000000AUlwZMAT","54258a7f72616907ea920000","The International Fine Art & Antique Dealers Show 2014","2014-10-17 15:45:00.0","2014-10-23 15:45:00.0","7","1","2","1","true","Item Updated"
"a0TM000000AUlwaMAD","5433ff987261692cc6590100","Independent Projects","2014-11-06 14:57:00.0","2014-11-09 14:57:00.0","19","2","2","2","true","Item Updated"
"a0TM000000AUlwbMAD","54382f1e7261691d554e0000","Abu Dhabi Art 2014","2014-11-05 19:09:00.0","2014-11-08 19:09:00.0","42","4","20","4","true","Item Updated"
"a0TM000000AUlwcMAD","543fb9e77261692d523a0000","Kunst 14 Zürich","2014-10-30 12:27:00.0","2014-11-02 12:27:00.0","0","0","0","0","true","Item Updated"
"a0TM000000AUlwdMAD","546b5c3172616910fbb00b00","Cologne Fine Art 2014","2014-11-18 14:47:00.0","2014-11-23 14:47:00.0","2","1","1","1","true","Item Updated"
"a0TM000000AUlweMAD","5253205d7622ddad570000b9","PINTA NY","2013-11-14 05:00:00.0","2013-11-17 05:00:00.0","483","45","133","45","true","Item Updated"
"a0TM000000AUlwfMAD","52dc4b419acc8aa73a0001e1","Collective Design Fair","2014-05-08 04:00:00.0","2014-05-11 04:00:00.0","504","34","232","34","true","Item Updated"
"a0TM000000AUlwgMAD","53079616b202a37a820000bb","Dallas Art Fair 2014","2014-04-10 04:00:00.0","2014-04-13 22:00:00.0","950","66","386","66","true","Item Updated"
"a0TM000000AUlwhMAD","534406b6cb4c27acfe00000a","NADA New York 2014","2014-05-09 16:00:00.0","2014-05-11 16:00:00.0","567","66","174","66","true","Item Updated"
"a0TM000000AUlwiMAD","5348489d139b21a0dc000018","arteBA 2014","2014-05-23 18:00:00.0","2014-05-26 21:00:00.0","881","62","275","62","true","Item Updated"
"a0TM000000AUlwjMAD","54dd27407261693dbed90600","Shanghai Art Fair 2015","2015-11-12 22:20:00.0","2015-11-15 22:20:00.0","0","0","0","0","true","Item Updated"
"a0TM000000AUlwkMAD","54ecd68e7261694c19780d00","art KARLSRUHE 2015","2015-03-05 19:52:00.0","2015-03-08 19:52:00.0","26","2","10","2","true","Item Updated"
"a0TM000000AUlwlMAD","54f473287261696383e60900","Affordable Art Fair Battersea 2015","2015-03-12 14:25:00.0","2015-03-15 14:25:00.0","26","1","12","1","true","Item Updated"
"a0TM000000AUlwmMAD","54f9dc167261690df7613f00","NADA New York 2015","2015-05-14 11:00:00.0","2015-05-17 18:00:00.0","296","27","67","27","true","Item Updated"
"a0TM000000AUlwnMAD","551c1a1d7261692b588d0400","Parc 2015","2015-04-22 16:17:00.0","2015-04-26 16:17:00.0","26","2","5","2","true","Item Updated"
"a0TM000000AUlwoMAD","552f95a2726169024c1f4800","OFF COURSE Brussels Contemporary Art Fair 2015","2015-04-24 11:00:00.0","2015-04-26 18:30:00.0","15","1","3","1","false","Item Updated"
"a0TM000000AUlwpMAD","55300315726169590a850000","Art Athina 2015","2015-06-04 14:44:00.0","2015-06-07 14:44:00.0","0","0","0","0","true","Item Updated"
"a0TM000000AUlwqMAD","53691beea09a67163f000092","VOLTA10","2014-06-16 17:28:00.0","2014-06-21 17:28:00.0","71","5","23","5","true","Item Updated"
"a0TM000000AUlwrMAD","5118944801d2103987000197","ADAA The Art Show 2013","2013-03-06 05:00:00.0","2013-03-10 05:00:00.0","6","1","1","1","true","Item Updated"
"a0TM000000AUlwsMAD","53da57ac7261690a9ed00700","(OFF)ICIELLE 2014","2014-10-22 14:49:00.0","2014-10-26 14:49:00.0","40","6","13","6","true","Item Updated"
"a0TM000000AUlwtMAD","53dbac607261692d783c0000","abc art berlin contemporary 2014","2014-09-18 12:00:00.0","2014-09-21 18:00:00.0","34","12","13","12","false","Item Updated"
"a0TM000000AUlwuMAD","53a6cc1a7261692b975d0700","Start Art Fair 2014","2014-06-26 12:27:00.0","2014-06-29 12:27:00.0","2","1","2","1","true","Item Updated"
"a0TM000000AUlwvMAD","53e29e1f7261692d3e120000","Affordable Art Fair Battersea 2014","2014-10-23 21:27:00.0","2014-10-26 21:27:00.0","0","0","0","0","true","Item Updated"
"a0TM000000AUlwwMAD","53e29cf97261695e09090000","Affordable Art Fair Hong Kong 2014","2014-03-20 21:23:00.0","2014-03-23 21:23:00.0","35","3","7","3","true","Item Updated"
"a0TM000000AUlwxMAD","53e29ed1726169630b390000","Affordable Art Fair New York City 2014","2014-09-25 21:29:00.0","2014-09-29 21:29:00.0","79","4","31","4","true","Item Updated"
"a0TM000000AUlwyMAD","53f250d0726169488aa50100","Texas Contemporary 2014","2014-09-04 18:54:00.0","2014-09-07 18:54:00.0","65","6","21","6","true","Item Updated"
"a0TM000000AUlwzMAD","53fcbd527261692d7a2a0100","Lima Photo 2014","2014-08-06 16:58:00.0","2014-08-10 16:58:00.0","0","0","0","0","true","Item Updated"
"a0TM000000AUlx0MAD","552fff9d72616934210c0000","Photo Independent Art Fair 2015","2015-05-01 14:29:00.0","2015-05-03 14:29:00.0","0","0","0","0","true","Item Updated"
